bitcoinopen
9939.999999
9902.5
9831
9885
9927
9925.1
9906
9879
9882.09866
9929.183781
9917.999999
9971
10027.52033
10035
10133.15009
10199.44019
10279
10345
10400
10699.99
9950
10371
10160
10377.22727
10513.9485
10639.33389
10601
10619.38062
10677
10700.0012
10840.96727
10795.144
10794.93591
10882
10899.76872
10842
11180
11015.0694
11140
10708.51075
10811.3
10977
10720
10680
10551
10480
10329
9820.091578
9585.664
10001
9223.129226
9751
10000
10099
9941
9653.500001
9731
9975
9929.77233
10215
10400
10180.99752
10385
10352.94754
10380.70727
10477
10444
10319
10266
9968
10037.01799
10051.56544
10072.15325
10196.74006
10200
10125.1
10042
9740
9500
9675
9635
9700.413073
9730
9277
9105.301735
9092.035
9340
9008.991009
9145.881482
9261
9232.659418
9232.642478
9490.99384
9521.000001
9535.000001
9678.9999
9760.763721
9656
9378.400104
9532.98426
9649.681267
9889.499744
9750
10059.94006
9907.76
9955.345555
9830
9620.11
9730.904835
9581.306145
9779.323607
9622.514967
9659.099502
9885.60768
9838
9652.207727
9568
9600
9420
9460.240175
9541
9678.383263
9793.320838
9868.449473
10013
9860.240533
9779.152492
9960
9963.372452
10248.88116
10149
10412
10649
10566
10490
10470.10542
10519.49695
10600
10539.52607
10500
10358.31673
10446.13693
10440
10550
10544
10603.2525
10670
10669
10800
10758.26557
10700
10494.29257
10699.88889
10794.24931
10879.21732
11000
11040.00017
10958.22
11039
10939.76815
10899
10700
10823
10687
10887.14571
10897.58809
10847.63437
10876.47437
10930.37903
10963.248
10935.80707
11118.39523
11150
11125.45858
11058.10728
10833.0356
10959.35051
10955.57468
11079.98892
11070
10985.44
10800
10876
10780.39
10699
10744.18703
10835
10905
10887
10930
10924
10921
10881.9421
10907.54633
10930
10974.38775
11024.001
10962.82704
10954
10880
10895.78628
10957.09861
10850.90604
10867.7389
10887.11559
10914.91673
10925
10870.58337
10944.99
10928
11006.93421
11049.88
11049
11016
11072
11135.03401
11164
11140
11107.29987
11120
11050
11135.1
11100
11430.13078
11623
11561
11640
11653
11682
11649.79101
11651
11798
11733
11799
11679.2165
11736.58435
11635
11697.33337
11715.1
11725.98828
11731.01
11801.27797
11308.07624
11052
10900
11000
11040
11058.03553
11175
11200
11205
11333.4
11384.73513
11238.04823
11245.99
11320.92133
11370
11444
11481.467
11346.54625
11420
11330
11401.20582
11450
11536
11530
11509
11478.92925
11350
11299
11329.98867
11300
11150
11202.44996
11136.31478
10969.99999
11217.5
11322
11383.47
11307
11330.45
11257.59795
11257.39698
11310.81089
11217.14
11113
11169
11106.99301
11164.0829
11349
11365.20428
11493.6557
11450
11437.98
11400.01
11489.39099
11600
11570.62623
11560
11577.9983
11506
11605.47951
11521
11514.78694
11571.15721
11440.40979
11486
11546.58598
11514.5
11545
11549
11550.23115
11755
11735
11760
11720.05
11662.1
11602
11647.19585
11650
11682
11625.23589
11715
11810.25
11740.81368
11816
11730.1
11770
11804
11709
11608
11714
11638.56057
11687
11701.9771
11730
11698
11758.29965
11738
11698.36361
11735.79391
11650
11696
11704.98352
11665.13876
11714.56506
11810
11799
11869
12067.1
12170
12218
12240
12200.42204
12215
12169.978
12243.9
12376.62195
12441
12440
12400
12466
12400
12499
12515.46364
12640
12788
12550
12536.24374
12623.37662
12680
12658.32328
12613.735
12692.09043
12712.90904
12660
12360
12452.49462
12502.68169
12652.80609
12538.30191
12626
12767
12901
13063.13272
13040
13100.69085
12989.24609
13186.68632
13330
13635.03647
13500
13580.90539
13950.97
13875.90386
13851.2003
13830.25343
13115
13519.511
13727
13632.89188
13855.78681
13976.28029
14030.08019
14038
14099
13875
14008
14089
14395.59953
14332
14345
14360
14625
14688.99
14490
13640
14220
14475
14665.49656
14725
15000
14995
15432.78894
15369
15500
14700
14723.53037
15240
15377.3086
15600
15200
15337.97771
15398.46
15560.0002
15940
15899
16272
16401
16315.47125
16563.50743
16850
16849.93
16770
17142.00042
16700
16714.28294
15225.79075
16264.945
16124
15366.01306
14170.5
15339.42686
15315
15801
15921.5
15771
15815
15270.22873
15024
15130
15150
14697.63714
14100
14761
14913.96088
14711
14540.699
14940.45243
15200
15586.88218
15346.4
15200
15386.673
14982.37575
15068.14554
14680
14683
15022
15191
15117
14980
14804.49821
15309
15680
15747.978
15722.9999
15695.48635
15847.67803
16183.47287
15700
15818.4
15359.64036
15550
15630.95061
15603.29866
15490
15573.64
15154.61113
15120
14975
15133
15170
15389.8
15296.5825
15044
15008.27184
14959.27
14883.19086
14916.83
14423
14706.18876
14710
14999
14600
14875
14999
14740.47014
14700
14396
14430
13970
13943
13570
13600
14145
14140
13885
13995.01
14265.5
14295
14151
14442.12916
14587.81636
14650.025
14526.23014
14690.21984
14227.67867
14148.45426
13714.98927
13507.2
13787
13315.5
13349
12801
12800
13550.52345
13200
13269.90759
13380
13700
13331
13441.61603
12989
13304.10226
13275
13537.84222
13740
13600
13755
13620
13470
13715
14179.32499
14674.35585
15192.12106
15050
15300
15400
15579.98442
15112
15250.00006
15300
15063.10355
15140.48858
15200
15571.505
15459.2092
15244.36919
14731.4433
14390.208
14790
14449
15380.5
14929.8
15200
15259.42
15650
16016.34091
16083
16150
16422
16148
16144
16065.98241
16116.625
16099
16422.7115
16646.99
16467
16500
16559
16340.61
16302
16350
16397.78561
16430
16373.38941
16084
16386
16320
16252
16182.47342
16211.23301
16178.18334
16200
16320.5
16332
16300
16247
16293
16404.28051
16400
16490
16933
17305
17280
17050
17104
17013.47736
16800
16600
16478.96
16401
16388.23581
16358
16603.85912
16256.02
16250
15950
16051
16100.02
15921
16136.30925
16387.24461
16270
16460
16400.27581
16571
16509
16653
16832
16682
16580
16340
16450
16460
16372.62737
16235.61
16700
16788
16658
16626.67417
16202
16513
16356
16322
16369
16260
16700
16526
16600
